date,n_gauges,cc_era5,cc_imerg,cc_mlr,a,b,c,cc_gain_vs_era5,cc_gain_vs_best
2005-01-30,203,0.4,0.16,0.4,0.57,-0.03,0.54,0.0,0.0
2005-01-31,193,0.42,0.04,0.43,1.08,-0.31,0.29,0.01,0.01
2005-02-01,213,0.49,0.05,0.49,0.68,-0.09,0.2,0.0,0.0
2005-02-02,200,0.33,0.04,0.33,0.21,0.22,0.24,0.0,0.0
2005-02-03,194,-0.04,0.0,0.04,-0.53,0.02,0.2,0.08,0.04
2005-02-04,194,0.29,0.43,0.43,0.01,0.87,0.45,0.15,0.0
2005-02-05,195,0.62,0.37,0.64,0.82,0.18,-0.02,0.02,0.02
2005-02-06,190,0.22,0.24,0.29,0.23,0.46,0.86,0.06,0.04
2005-02-07,228,0.51,0.24,0.52,0.88,0.48,0.61,0.01,0.01
2005-02-08,219,0.54,0.27,0.56,0.88,0.44,0.29,0.02,0.02
2005-02-09,192,-0.02,0.1,0.1,-4.76,0.41,0.49,0.12,0.0
2005-02-10,203,0.32,0.32,0.34,0.81,0.26,1.22,0.02,0.02
2005-02-11,234,0.52,0.4,0.52,1.01,-0.04,3.2,0.0,0.0
2005-02-12,236,0.6,0.59,0.62,0.41,0.33,3.09,0.02,0.02
2005-02-13,207,0.13,0.09,0.16,0.55,0.54,1.21,0.03,0.03
2005-02-14,197,-0.03,0.07,0.08,-1.42,0.43,0.83,0.11,0.01
2005-02-15,205,0.54,0.13,0.55,2.43,0.07,-0.08,0.0,0.0
2005-02-16,220,0.58,0.18,0.64,0.54,0.21,-0.38,0.06,0.06
2005-02-17,205,0.26,0.14,0.26,1.02,-0.02,0.83,0.0,0.0
2005-02-18,236,0.38,0.18,0.39,0.77,-0.18,3.34,0.01,0.01
2005-02-19,225,0.65,0.41,0.65,0.62,0.07,2.04,0.0,0.0
2005-02-20,226,0.32,0.31,0.4,0.52,0.59,1.57,0.08,0.08
2005-02-21,214,0.16,0.21,0.23,0.31,0.57,2.25,0.06,0.01
2005-02-22,229,0.38,0.34,0.41,0.29,0.25,2.7,0.03,0.03
2005-02-23,233,0.2,0.2,0.22,0.21,0.26,1.6,0.02,0.02
2005-02-24,227,0.5,0.53,0.63,0.67,0.75,-0.27,0.13,0.1
2005-02-25,223,0.45,0.26,0.47,0.43,0.26,0.23,0.03,0.03
2005-02-26,218,0.42,0.13,0.42,0.46,0.05,0.25,0.0,0.0
2005-02-27,213,0.31,0.33,0.37,0.33,0.27,0.16,0.05,0.04
2005-02-28,197,0.11,0.08,0.13,0.84,0.18,0.49,0.01,0.01
2005-03-01,200,0.25,-0.01,0.28,0.29,-0.2,0.16,0.03,0.03
2005-03-02,191,0.14,0.24,0.27,0.75,0.69,0.2,0.13,0.03
2005-03-03,205,0.56,0.21,0.56,0.6,-0.2,-0.07,0.01,0.01
2005-03-04,195,0.11,0.19,0.21,0.34,1.02,0.64,0.1,0.02
2005-03-05,210,0.52,0.7,0.72,0.34,0.81,-0.38,0.19,0.02
2005-03-06,214,0.55,0.6,0.66,0.39,0.48,0.19,0.11,0.05
2005-03-07,199,0.27,0.16,0.3,0.51,0.52,0.61,0.03,0.03
2005-03-08,187,-0.02,-0.05,0.06,-0.13,-0.06,0.1,0.08,0.08
2005-03-09,189,0.11,-0.03,0.11,187.74,-0.13,0.17,0.0,0.0
2005-03-10,191,0.04,-0.03,0.05,0.81,-0.06,0.04,0.01,0.01
2005-03-11,190,0.01,0.03,0.03,0.05,0.17,0.09,0.03,0.0
2005-03-12,185,-0.04,-0.03,0.04,-0.23,-0.01,0.13,0.09,0.08
2005-03-13,185,0.31,0.09,0.32,0.61,-0.03,0.03,0.0,0.0
2005-03-14,204,0.78,0.67,0.8,0.56,0.18,-0.27,0.01,0.01
2005-03-15,202,0.47,0.04,0.5,0.67,-0.49,0.17,0.03,0.03
2005-03-16,192,-0.02,-0.02,0.03,-0.14,-0.17,0.3,0.05,0.05
2005-03-17,188,0.27,0.03,0.27,0.52,0.05,0.13,0.0,0.0
2005-03-18,197,0.18,-0.02,0.18,0.23,0.0,0.26,0.0,0.0
